,num_rooms,num_ratings,avg_rating,name
66720757,2.0,29.0,4.75,Sio
66879028,1.0,44.0,5.0,Lidia
66909461,7.0,32.0,2.0,Silke
66944583,1.0,0.0,0.0,Andreas
67152275,1.0,1.0,0.0,Pilar
67850025,1.0,6.0,5.0,Paulus
67858021,1.0,2.0,0.0,Xim
67957309,2.0,54.0,5.0,Sandra
68785988,3.0,129.0,5.0,Cecilia
68992975,1.0,1.0,0.0,Guillermo
69227305,1.0,5.0,4.5,Les
69373992,1.0,65.0,4.5,Yaroslav
69462088,13.0,12.0,1.07692307692,Antonio
69697716,1.0,0.0,0.0,Toni
70090965,2.0,6.0,2.25,Lito
70693610,3.0,49.0,3.0,María
72242804,1.0,8.0,4.0,Alla
72522156,1.0,2.0,0.0,Tolo
72709878,1.0,13.0,4.5,Ester
72746703,2.0,40.0,4.25,Sylwia
72995135,1.0,24.0,5.0,Claudio
73046635,1.0,9.0,4.0,Thaiis
73394484,1.0,32.0,4.5,Alina
73497410,1.0,1.0,0.0,Rosario
73507732,1.0,7.0,4.5,Xim Y Yolanda
74126567,1.0,37.0,5.0,Ana
74200166,1.0,4.0,4.5,Belona
74424215,2.0,37.0,4.75,Maria Del Mar
74802102,1.0,0.0,0.0,Francesca
75164331,1.0,18.0,4.0,Edlamar
75414358,1.0,26.0,5.0,Gabi
76301060,3.0,48.0,4.83333333333,Erique
76873025,1.0,2.0,0.0,Cecilia
77763592,1.0,67.0,5.0,Tania
78282534,1.0,22.0,5.0,"Maria, Adam"
78552102,1.0,28.0,5.0,Helga
78818789,4.0,179.0,3.375,Luis-Ramón
79039745,1.0,3.0,4.5,Daniel
79042642,5.0,37.0,3.6,Francesc
80839530,20.0,11.0,0.0,Franz
80917119,1.0,42.0,4.5,Antonia
81300515,1.0,15.0,5.0,Wolfgang
81692475,1.0,60.0,5.0,Antonio
81833272,1.0,27.0,4.5,Nathalie
82067835,4.0,1.0,0.0,Sebastien
82120468,4.0,62.0,4.0,Albert
82618207,1.0,10.0,5.0,Maria
85038792,1.0,5.0,5.0,Luciano
86246906,1.0,10.0,4.5,Marylyn Roberta
87724606,1.0,14.0,5.0,James
